Name,log2FC,pvalue,padj,neg_log10_padj,significant
GBZR01000520.1,-17.75034053931458,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01000616.1,13.517714296361529,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01000648.1,-12.697254829571177,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01001349.1,-12.607445729244565,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01002904.1,-8.404350130066462,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01007265.1,-16.88086709648257,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01007799.1,16.6999346496034,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01009500.1,-16.73050716020102,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01011008.1,4.425669436309943,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01011776.1,18.485407190250147,0.49999999999999956,0.5042325171385089,0.297369150808603,False
GBZR01012413.1,3.8032481677974834,0.5042325171385089,0.5042325171385089,0.297369150808603,False
